 mentions, sentiment,sender
[],0.563396811,rainier
[],0.563396811,harry-hotel-lake-magnesium
[],0.690996051,rainier
[],0.563396811,harry-hotel-lake-magnesium
[],0.697671175,rainier
[],0.343672454,rainier
[],0.074786372,harry-hotel-lake-magnesium
[],0.925337911,rainier
[],0.517272115,harry-hotel-lake-magnesium
[],0.877959371,rainier
[],0.115840547,harry-hotel-lake-magnesium
[],0.563396811,rainier
[],0.577453673,harry-hotel-lake-magnesium
['magazine-montana-cola-lemon'],0.766816735,rainier
[],0.563396811,rainier
[],0.013331575,harry-hotel-lake-magnesium
[],0.549731493,rainier
[],0.143268779,harry-hotel-lake-magnesium
[],0.563396811,rainier
['harry-hotel-lake-magnesium'],0.453126907,rainier
[],0.90444994,harry-hotel-lake-magnesium
[],0.194036946,rainier
[],0.775542676,harry-hotel-lake-magnesium
['river-oranges-jersey-cup'],0.468894035,rainier
[],0.170044154,harry-hotel-lake-magnesium
[],0.710889161,rainier
[],0.339829236,harry-hotel-lake-magnesium
"['river-oranges-jersey-cup', 'rainier']",0.128528997,rainier
"['harry-hotel-lake-magnesium', 'rainier']",0.966891348,harry-hotel-lake-magnesium
[],0.818643987,harry-hotel-lake-magnesium
['washington-spaghetti-mike-nebraska'],0.931908071,rainier
['washington-spaghetti-mike-nebraska'],0.907276154,harry-hotel-lake-magnesium
[],0.180562809,harry-hotel-lake-magnesium
['washington-spaghetti-mike-nebraska'],0.856139243,rainier
[],0.505805612,harry-hotel-lake-magnesium
[],0.184550062,harry-hotel-lake-magnesium
[],0.548946738,harry-hotel-lake-magnesium
[],0.252414167,harry-hotel-lake-magnesium
[],0.026287016,rainier
[],0.606366277,harry-hotel-lake-magnesium
[],0.583194852,rainier
['washington-spaghetti-mike-nebraska'],0.352764338,harry-hotel-lake-magnesium
[],0.473127216,rainier
[],0.519281387,rainier
[],0.282119334,harry-hotel-lake-magnesium
[],0.686828911,rainier
[],0.486044407,harry-hotel-lake-magnesium
[],0.772967875,rainier
['washington-spaghetti-mike-nebraska'],0.506874502,harry-hotel-lake-magnesium
[],0.859951735,rainier
[],0.797449946,rainier
[],0.490997732,harry-hotel-lake-magnesium
['black-purple-butter-robin'],0.693483114,rainier
[],0.31049028,harry-hotel-lake-magnesium
[],0.641409755,harry-hotel-lake-magnesium
[],0.97834599,rainier
[],0.420411557,harry-hotel-lake-magnesium
[],0.705759823,harry-hotel-lake-magnesium
[],0.006272333,rainier
[],0.496338516,harry-hotel-lake-magnesium
[],0.653001368,rainier
[],0.839725971,harry-hotel-lake-magnesium
[],0.991690099,harry-hotel-lake-magnesium
[],0.844848812,rainier
[],0.317699611,rainier
[],0.120531991,harry-hotel-lake-magnesium
[],0.668548524,rainier
[],0.059291091,harry-hotel-lake-magnesium
[],0.54091531,rainier
['washington-spaghetti-mike-nebraska'],0.607200503,harry-hotel-lake-magnesium
[],0.371302575,rainier
[],0.414870799,harry-hotel-lake-magnesium
['seven-low-delaware-pluto'],0.80603081,rainier
[],0.264474064,harry-hotel-lake-magnesium
[],0.80620718,rainier
[],0.822294593,harry-hotel-lake-magnesium
[],0.142369032,rainier
[],0.174517363,harry-hotel-lake-magnesium
[],0.604433239,harry-hotel-lake-magnesium
[],0.536973357,rainier
[],0.635112226,rainier
[],0.046475451,harry-hotel-lake-magnesium
[],0.468005329,rainier
[],0.22955288,harry-hotel-lake-magnesium
[],0.414882839,rainier
[],0.185667828,harry-hotel-lake-magnesium
[],0.084539793,rainier
[],0.385385305,harry-hotel-lake-magnesium
[],0.860209167,rainier
[],0.267280668,rainier
['california-sink-delaware-summer'],0.287023067,harry-hotel-lake-magnesium
[],0.716606736,harry-hotel-lake-magnesium
[],0.105996944,rainier
[],0.88498354,harry-hotel-lake-magnesium
[],0.697307289,rainier
[],0.735053718,rainier
[],0.576306343,rainier
[],0.068749167,harry-hotel-lake-magnesium
[],0.072447345,rainier
['maine-william-princess-jersey'],0.708568752,rainier
[],0.927700341,rainier
[],0.563396811,harry-hotel-lake-magnesium
[],0.956837714,rainier
[],0.342833132,harry-hotel-lake-magnesium
[],0.940324068,rainier
[],0.935225308,rainier
[],0.116499461,harry-hotel-lake-magnesium
[],0.626695573,rainier
[],0.561882555,rainier
['rainier'],0.965462744,harry-hotel-lake-magnesium
[],0.958761036,rainier
[],0.440779477,harry-hotel-lake-magnesium
['magazine-montana-cola-lemon'],0.533862233,rainier
[],0.982319891,rainier
['washington-spaghetti-mike-nebraska'],0.958290517,rainier
[],0.941232264,rainier
[],0.656976819,harry-hotel-lake-magnesium
[],0.569465876,rainier
[],0.563396811,harry-hotel-lake-magnesium
[],0.881060362,rainier
[],0.55583477,harry-hotel-lake-magnesium
[],0.811043918,rainier
[],0.431473583,rainier
[],0.938918173,harry-hotel-lake-magnesium
[],0.664051831,rainier
[],0.710681438,harry-hotel-lake-magnesium
['river-oranges-jersey-cup'],0.760137856,rainier
[],0.67317915,rainier
[],0.219396517,rainier
[],0.600448191,harry-hotel-lake-magnesium
[],0.524506986,harry-hotel-lake-magnesium
[],0.845715821,rainier
[],0.61736697,harry-hotel-lake-magnesium
[],0.772730887,rainier
[],0.426272452,rainier
[],0.4548406,harry-hotel-lake-magnesium
['bluebird-fish-lamp-edward'],0.894323885,rainier
['river-oranges-jersey-cup'],0.880339742,magazine-montana-cola-lemon
"['seven-low-delaware-pluto', 'black-purple-butter-robin']",0.552859962,rainier
['black-purple-butter-robin'],0.982304156,magazine-montana-cola-lemon
[],0.937196016,rainier
[],0.956820488,magazine-montana-cola-lemon
['seven-low-delaware-pluto'],0.122927189,rainier
[],0.870945513,magazine-montana-cola-lemon
[],0.563396811,rainier
[],0.351770908,magazine-montana-cola-lemon
[],0.663434744,magazine-montana-cola-lemon
"['seven-low-delaware-pluto', 'harry-hotel-lake-magnesium']",0.922742546,rainier
[],0.423632532,magazine-montana-cola-lemon
['black-purple-butter-robin'],0.836827636,rainier
[],0.021202102,magazine-montana-cola-lemon
[],0.563396811,rainier
[],0.935225308,rainier
[],0.72411561,magazine-montana-cola-lemon
[],0.221028522,magazine-montana-cola-lemon
[],0.519281387,rainier
[],0.445630163,magazine-montana-cola-lemon
[],0.077278286,rainier
[],0.232236043,magazine-montana-cola-lemon
[],0.069688633,magazine-montana-cola-lemon
[],0.762755394,rainier
[],0.761328995,magazine-montana-cola-lemon
[],0.023313586,rainier
[],0.017709495,magazine-montana-cola-lemon
[],0.885840178,magazine-montana-cola-lemon
['magazine-montana-cola-lemon'],0.949573696,rainier
['rainier'],0.412088305,magazine-montana-cola-lemon
[],0.563396811,magazine-montana-cola-lemon
[],0.563396811,rainier
[],0.53202647,magazine-montana-cola-lemon
[],0.617807925,rainier
[],0.896114171,magazine-montana-cola-lemon
[],0.948364556,rainier
[],0.587683558,magazine-montana-cola-lemon
[],0.736961961,rainier
[],0.763114929,rainier
[],0.726181924,magazine-montana-cola-lemon
[],0.257640332,magazine-montana-cola-lemon
['river-oranges-jersey-cup'],0.941241324,rainier
[],0.563396811,rainier
[],0.764961958,magazine-montana-cola-lemon
[],0.187803596,rainier
['rainier'],0.454836786,magazine-montana-cola-lemon
[],0.344911069,rainier
[],0.563396811,rainier
[],0.545003355,magazine-montana-cola-lemon
[],0.724072874,magazine-montana-cola-lemon
[],0.563396811,rainier
[],0.40536347,rainier
[],0.828139901,magazine-montana-cola-lemon
[],0.808783889,rainier
